Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL,All-Star,Salary
Lonnie Walker IV,42.6,40.6,72.1,6.4,1.1,2.3,0.2,0.5,0,2689920
Lonzo Ball,40.300000000000004,37.5,56.599999999999994,11.8,7.0,6.1,0.6,1.4,0,8719320
Lou Williams,41.8,35.199999999999996,86.1,18.2,5.6,3.1,0.2,0.7,0,8000000
Luc Mbah a Moute,40.0,0.0,50.0,1.7,0.0,0.7,0.0,0.7,0,4320500
Luguentz Dort,39.4,29.7,79.2,6.8,0.8,2.3,0.1,0.9,0,155647
Luke Kennard,44.2,39.900000000000006,89.3,15.8,4.1,3.5,0.2,0.4,0,3827160
Luke Kornet,43.9,28.7,71.39999999999999,6.0,0.9,2.3,0.7,0.3,0,2250000
Malcolm Brogdon,43.8,32.6,89.2,16.5,7.1,4.9,0.2,0.6,0,20000000
Malcolm Miller,41.4,36.4,37.5,1.3,0.4,0.6,0.1,0.2,0,1588231
Malik Beasley,42.5,38.800000000000004,81.8,11.2,1.4,2.7,0.1,0.7,0,2731714
Malik Monk,43.4,28.4,82.0,10.3,2.1,2.9,0.3,0.5,0,4028400
Marc Gasol,42.699999999999996,38.5,73.5,7.5,3.3,6.3,0.9,0.8,0,25595700
Marco Belinelli,39.2,37.6,82.8,6.3,1.2,1.7,0.0,0.2,0,5846154
Marcus Smart,37.5,34.699999999999996,83.6,12.9,4.9,3.8,0.5,1.7,0,12553571
Mario Hezonja,42.199999999999996,30.8,81.39999999999999,4.8,0.9,3.5,0.2,0.7,0,1737145
Markelle Fultz,46.5,26.700000000000003,73.0,12.1,5.1,3.3,0.2,1.3,0,9745200
Markieff Morris,44.3,38.6,77.60000000000001,9.7,1.3,3.8,0.3,0.5,0,1750000
Marko Guduric,39.5,30.099999999999998,92.30000000000001,3.9,1.0,1.7,0.2,0.3,0,2625000
Marquese Chriss,54.50000000000001,20.5,76.9,9.3,1.9,6.2,1.1,0.7,0,654469
Marvin Bagley III,46.7,18.2,80.60000000000001,14.2,0.8,7.5,0.9,0.5,0,8556120
Marvin Williams,44.6,35.9,86.0,5.9,1.0,3.2,0.5,0.6,0,604278
Mason Plumlee,61.5,0.0,53.5,7.2,2.5,5.2,0.6,0.5,0,14041096
Matisse Thybulle,42.3,35.699999999999996,61.0,4.7,1.2,1.6,0.7,1.4,0,2582160
Matt Thomas,48.699999999999996,47.5,75.0,4.9,0.5,1.5,0.0,0.2,0,898310
