Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL
Chandler Hutchison,45.7,31.6,59.0,7.8,0.9,3.9,0.3,1.0
Serge Ibaka,51.2,38.5,71.8,15.4,1.4,8.2,0.8,0.5
Andre Iguodala,43.2,29.799999999999997,40.0,4.6,2.4,3.7,1.0,0.7
Ersan İlyasova,46.6,36.5,82.8,6.6,0.8,4.8,0.3,0.4
Joe Ingles,44.5,39.900000000000006,78.7,9.8,5.2,3.9,0.2,0.9
Brandon Ingram,46.300000000000004,39.1,85.1,23.8,4.2,6.1,0.6,1.0
Kyrie Irving,47.8,39.4,92.2,27.4,6.4,5.2,0.5,1.4
Jonathan Isaac,47.0,34.0,77.9,11.9,1.4,6.8,2.3,1.6
Wes Iwundu,41.6,34.1,80.4,5.8,1.2,2.5,0.3,0.5
Frank Jackson,40.5,32.6,74.7,6.3,1.0,1.4,0.1,0.3
Jaren Jackson Jr.,46.9,39.4,74.7,17.4,1.4,4.6,1.6,0.7
Josh Jackson,44.0,31.900000000000002,70.0,9.0,1.6,3.0,0.4,0.8
Justin Jackson,39.6,29.4,84.0,5.5,0.8,2.4,0.2,0.2
Reggie Jackson,41.099999999999994,39.300000000000004,83.3,11.9,4.1,3.0,0.2,0.4
Justin James,41.699999999999996,31.0,47.599999999999994,2.5,0.5,0.9,0.3,0.2
LeBron James,49.3,34.8,69.3,25.3,10.2,7.8,0.5,1.2
Amile Jefferson,35.699999999999996,0.0,35.699999999999996,0.8,0.2,1.3,0.2,0.1
DaQuan Jeffries,50.0,27.800000000000004,83.3,3.8,0.5,1.4,0.1,0.3
Ty Jerome,33.6,28.000000000000004,75.0,3.3,1.4,1.5,0.1,0.5
Alize Johnson,41.4,37.5,70.0,2.0,0.4,2.8,0.1,0.2
B.J. Johnson,28.1,33.300000000000004,90.0,3.0,0.3,1.5,0.0,0.3
Cameron Johnson,43.5,39.0,80.7,8.8,1.2,3.3,0.4,0.6
James Johnson,47.9,36.3,64.60000000000001,8.4,2.3,3.7,1.0,0.8
Keldon Johnson,59.599999999999994,59.099999999999994,79.5,9.1,0.9,3.4,0.1,0.8
Stanley Johnson,37.3,29.2,56.3,2.4,0.8,1.5,0.2,0.2
Tyler Johnson,38.800000000000004,31.900000000000002,84.0,7.0,1.9,1.9,0.2,0.4
Nikola Jokić,52.800000000000004,31.4,81.69999999999999,19.9,7.0,9.7,0.6,1.2
Damian Jones,68.0,22.2,73.8,5.6,0.6,3.7,0.7,0.5
Derrick Jones Jr.,52.7,28.000000000000004,77.2,8.5,1.1,3.9,0.6,1.0
Tyus Jones,45.9,37.9,74.1,7.4,4.4,1.6,0.1,0.9
DeAndre Jordan,66.60000000000001,0.0,68.0,8.3,1.9,10.0,0.9,0.3
Cory Joseph,41.5,35.199999999999996,85.7,6.4,3.5,2.6,0.3,0.7
Mfiondu Kabengele,43.8,45.0,100.0,3.5,0.2,0.9,0.2,0.2
Frank Kaminsky,45.0,33.1,67.80000000000001,9.7,1.9,4.5,0.3,0.4
Luke Kennard,44.2,39.900000000000006,89.3,15.8,4.1,3.5,0.2,0.4
Stanton Kidd,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0
Michael Kidd-Gilchrist,33.300000000000004,25.0,78.60000000000001,2.4,0.6,2.7,0.2,0.1
Louis King,38.1,36.4,0.0,2.0,0.5,1.0,0.0,0.2
Maxi Kleber,46.1,37.3,84.89999999999999,9.1,1.2,5.2,1.1,0.3
Brandon Knight,35.3,34.4,58.8,7.3,2.8,1.6,0.1,0.4
Kevin Knox,35.9,32.7,65.3,6.4,0.9,2.8,0.4,0.4
John Konchar,64.9,50.0,50.0,2.8,1.2,2.5,0.2,0.4
Furkan Korkmaz,43.0,40.2,75.5,9.8,1.1,2.3,0.2,0.6
Luke Kornet,43.9,28.7,71.39999999999999,6.0,0.9,2.3,0.7,0.3
Kyle Korver,43.0,41.8,85.39999999999999,6.7,1.2,2.1,0.2,0.4
Rodions Kurucs,44.6,36.7,63.2,4.6,1.1,2.9,0.1,0.5
Kyle Kuzma,43.6,31.6,73.5,12.8,1.3,4.5,0.4,0.5
Skal Labissière,55.1,23.1,75.8,5.8,1.3,5.1,0.9,0.2
Jeremy Lamb,45.1,33.5,83.6,12.5,2.1,4.3,0.5,1.2
Romeo Langford,35.0,18.5,72.0,2.5,0.4,1.3,0.3,0.3
Zach LaVine,45.0,38.0,80.2,25.5,4.2,4.8,0.5,1.5
Vic Law,33.300000000000004,14.299999999999999,33.300000000000004,1.9,0.4,1.4,0.0,0.3
Jake Layman,45.300000000000004,33.300000000000004,75.0,9.1,0.7,2.5,0.4,0.7
T.J. Leaf,41.9,27.800000000000004,43.8,3.0,0.3,2.5,0.1,0.4
Jalen Lecque,40.0,0.0,100.0,2.0,0.4,0.4,0.0,0.0
